route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
"NAOLIBORG:Line:1","NAOLIBORG:Operator:1","1","François Mitterrand / Jamet - Beaujoire / Babinière",,0,,00a754,ffffff,1
"NAOLIBORG:Line:1B","NAOLIBORG:Operator:1","1B","François Mitterrand - Beaujoire / Babinière",,3,,00a754,ffffff,2
"NAOLIBORG:Line:2","NAOLIBORG:Operator:1","2","Orvault Grand Val - Gare de Pont Rousseau",,0,,e30613,ffffff,3
"NAOLIBORG:Line:3","NAOLIBORG:Operator:1","3","Marcel Paul - Neustrie",,0,,2581c4,ffffff,5
"NAOLIBORG:Line:3B","NAOLIBORG:Operator:1","3B","Marcel Paul - Neustrie",,3,,2581c4,ffffff,6
"NAOLIBORG:Line:4","NAOLIBORG:Operator:1","4","Foch - Cathédrale - Porte de Vertou",,3,,ffcd1c,000000,7
"NAOLIBORG:Line:5","NAOLIBORG:Operator:1","5","Hangar à Bananes - Gare Sud",,3,,0bbbef,ffffff,8
"NAOLIBORG:Line:C1","NAOLIBORG:Operator:1","C1","Haluchère - Batignolles - Gare de Chantenay",,3,,0bbbef,ffffff,21
"NAOLIBORG:Line:C2","NAOLIBORG:Operator:1","C2","Le Cardo - Gare Sud",,3,,ee7402,ffffff,22
"NAOLIBORG:Line:C3","NAOLIBORG:Operator:1","C3","Armor - Bd de Doulon",,3,,f7a600,000000,23
"NAOLIBORG:Line:C4","NAOLIBORG:Operator:1","C4","Les Sorinières - Greneraie",,3,,76b82a,ffffff,24
"NAOLIBORG:Line:C6","NAOLIBORG:Operator:1","C6","Chantrerie - Grandes Ecoles - Hermeland",,3,,a877b2,ffffff,26
"NAOLIBORG:Line:C7","NAOLIBORG:Operator:1","C7","Trianon / Clairais - Souillarderie",,3,,c8d300,000000,27
"NAOLIBORG:Line:C8","NAOLIBORG:Operator:1","C8","Marcel Paul - Saupin",,3,,c8d300,000000,28
"NAOLIBORG:Line:C9","NAOLIBORG:Operator:1","C9","Basse-Goulaine / Chalonges - Pirmil",,3,,f5b5d3,000000,29
"NAOLIBORG:Line:C20","NAOLIBORG:Operator:1","C20","Ecole Centrale - Audencia - Gare Maritime",,3,,ffed00,000000,40
"NAOLIBORG:Line:10","NAOLIBORG:Operator:1","10","Gare de Chantenay - Bd de Doulon",,3,,ffed00,000000,50
"NAOLIBORG:Line:11","NAOLIBORG:Operator:1","11","Tertre - Perray",,3,,e8b975,000000,51
"NAOLIBORG:Line:12","NAOLIBORG:Operator:1","12","Jules Verne - Beauséjour",,3,,a1daf8,000000,52
"NAOLIBORG:Line:23","NAOLIBORG:Operator:1","23","Haluchère - Batignolles - Mendès France - Bellevue",,3,,0bbbef,ffffff,63
"NAOLIBORG:Line:26","NAOLIBORG:Operator:1","26","Jonelière - Hôtel de Région",,3,,009640,ffffff,66
"NAOLIBORG:Line:27","NAOLIBORG:Operator:1","27","La Herdrie - Pirmil",,3,,a1daf8,000000,67
"NAOLIBORG:Line:28","NAOLIBORG:Operator:1","28","Vertou - Pirmil",,3,,a1daf8,000000,68
"NAOLIBORG:Line:30","NAOLIBORG:Operator:1","30","Joliverie / Iles de Loire - Trentemoult",,3,,ffed00,000000,70
"NAOLIBORG:Line:33","NAOLIBORG:Operator:1","33","Robinière / L'Aufrère - Espace Diderot",,3,,f5b5d3,000000,73
