shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.221127,-1.524746,0
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.219555,-1.533415,1
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.218735,-1.537714,2
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.21786,-1.542788,3
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.2162,-1.547561,4
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.214565,-1.5526,5
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.213547,-1.556233,6
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.211098,-1.561086,7
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.20885,-1.567797,8
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.207066,-1.573381,9
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.207645,-1.581985,10
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.209473,-1.588817,11
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.209644,-1.595802,12
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.206795,-1.600541,13
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.204926,-1.605213,14
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.206795,-1.609874,15
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.208893,-1.611312,16
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.21188,-1.608858,17
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.214752,-1.608311,18
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.217705,-1.61387,19
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.21916,-1.620745,20
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.22062,-1.628177,21
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.221504,-1.632787,22
"NAOLIBORG:JourneyPattern:1_C73763DC2F26A2FD34980EB8B2E73D15",47.222137,-1.638233,23
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.259243,-1.54662,0
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.253174,-1.530138,1
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.24872,-1.522235,2
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.243397,-1.518072,3
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.238125,-1.516043,4
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.232174,-1.516233,5
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.22665,-1.518813,6
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.224316,-1.520172,7
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.221127,-1.524746,8
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.219555,-1.533415,9
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.218735,-1.537714,10
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.21786,-1.542788,11
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.2162,-1.547561,12
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.214565,-1.5526,13
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.213547,-1.556233,14
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.211098,-1.561086,15
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.20885,-1.567797,16
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.207066,-1.573381,17
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.207645,-1.581985,18
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.209473,-1.588817,19
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.209644,-1.595802,20
"NAOLIBORG:JourneyPattern:1_5C7FEEC22A01D65C77E7919338945024",47.21011,-1.603161,21
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.259243,-1.54662,0
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.253174,-1.530138,1
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.24872,-1.522235,2
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.243397,-1.518072,3
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.238125,-1.516043,4
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.232174,-1.516233,5
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.22665,-1.518813,6
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.224316,-1.520172,7
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.221127,-1.524746,8
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.219555,-1.533415,9
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.218735,-1.537714,10
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.21786,-1.542788,11
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.2162,-1.547561,12
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.214565,-1.5526,13
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.213547,-1.556233,14
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.211098,-1.561086,15
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.20885,-1.567797,16
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.207066,-1.573381,17
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.207645,-1.581985,18
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.209473,-1.588817,19
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.209644,-1.595802,20
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.206795,-1.600541,21
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.204926,-1.605213,22
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.206795,-1.609874,23
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.208893,-1.611312,24
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.21188,-1.608858,25
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.214752,-1.608311,26
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.217705,-1.61387,27
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.21916,-1.620745,28
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.22062,-1.628177,29
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.221504,-1.632787,30
"NAOLIBORG:JourneyPattern:1_7A2A584E708920FC205E18B6EF0F7124",47.222137,-1.638233,31
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.209976,-1.60254,0
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.209644,-1.595155,1
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.209213,-1.588297,2
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.207474,-1.581572,3
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.207073,-1.572917,4
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.208916,-1.567305,5
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.211205,-1.560598,6
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.213585,-1.555924,7
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.2146,-1.552095,8
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.216293,-1.547127,9
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.217842,-1.542299,10
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.218784,-1.537123,11
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.21957,-1.53302,12
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.22126,-1.524274,13
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.224716,-1.519776,14
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.22695,-1.518558,15
"NAOLIBORG:JourneyPattern:1_90C1BE116FEF82F695CD350D017DDFD9",47.23247,-1.516006,16
