stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"FR_NAOLIB:StopPlace:194",,"St-Pierre",,,47.218102,-1.551851,"",,1,,,1,,
"FR_NAOLIB:StopPlace:195",,"Mellinet",,,47.211384,-1.576811,"",,1,,,1,,
"FR_NAOLIB:StopPlace:196",,"Hôtel de Ville",,,47.217793,-1.554348,"",,1,,,2,,
"FR_NAOLIB:StopPlace:197",,"Lippmann",,,47.238655,-1.520822,"",,1,,,2,,
"FR_NAOLIB:StopPlace:190",,"Casterneau",,,47.227119,-1.532729,"",,1,,,1,,
"FR_NAOLIB:StopPlace:191",,"Square Daviais",,,47.211563,-1.557435,"",,1,,,1,,
"FR_NAOLIB:StopPlace:192",,"Desmoulins",,,47.232807,-1.521580,"",,1,,,0,,
"FR_NAOLIB:StopPlace:193",,"Bouteillerie",,,47.221584,-1.543157,"",,1,,,1,,
"FR_NAOLIB:StopPlace:198",,"René Bouhier",,,47.209946,-1.571482,"",,1,,,2,,
"FR_NAOLIB:StopPlace:199",,"Pré Hervé",,,47.243893,-1.517698,"",,1,,,2,,
"FR_NAOLIB:StopPlace:1081",,"Bonde",,,47.222752,-1.552013,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1082",,"Portricq",,,47.265182,-1.521495,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1080",,"Perron",,,47.224670,-1.601380,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1085",,"Châlet",,,47.229698,-1.544331,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1086",,"Embellie",,,47.265114,-1.518601,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1083",,"St-Joseph de Porterie",,,47.267849,-1.516902,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1084",,"Coudray",,,47.232346,-1.542427,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1089",,"Lallié",,,47.227348,-1.545642,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1087",,"Cochard",,,47.224285,-1.550073,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1088",,"Couchant",,,47.270149,-1.513774,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1070",,"Jean Ingres",,,47.222256,-1.596414,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1071",,"Hongrie",,,47.215965,-1.523945,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1074",,"Vincent Auriol",,,47.221806,-1.592212,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1075",,"Zénith",,,47.230553,-1.629307,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1072",,"Franklin",,,47.225864,-1.619700,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1073",,"Delacroix",,,47.223652,-1.589331,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1078",,"Bretéché",,,47.225536,-1.548041,"",,1,,,0,,
"FR_NAOLIB:StopPlace:1079",,"St-Laurent",,,47.223186,-1.597466,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1076",,"Pinier",,,47.182156,-1.545450,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1077",,"St-Paul - Salengro",,,47.184849,-1.546192,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1069",,"Edith Piaf",,,47.228195,-1.623873,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1060",,"Châtaigniers",,,47.221874,-1.602368,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1063",,"Duguay Trouin",,,47.224297,-1.616547,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1064",,"La Roche",,,47.216660,-1.518661,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1061",,"Malakoff",,,47.216225,-1.521288,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1062",,"San Francisco",,,47.217831,-1.516098,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1067",,"Raoul Dufy",,,47.222630,-1.599567,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1068",,"Écosse",,,47.215164,-1.526253,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1065",,"Prairie de Mauves",,,47.220139,-1.516570,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1066",,"Procé",,,47.222553,-1.581613,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1058",,"Eglantine",,,47.235165,-1.588221,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1059",,"Dervallières",,,47.228817,-1.598185,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1052",,"Chauvinière",,,47.251534,-1.572086,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1053",,"Le Nain",,,47.226833,-1.600729,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1050",,"Route de la Chapelle",,,47.254707,-1.576197,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1051",,"La Close",,,47.241615,-1.573471,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1056",,"Colonac",,,47.224625,-1.602998,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1057",,"Courteline",,,47.236519,-1.586950,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1054",,"Abel Durand",,,47.220139,-1.603323,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1055",,"Janvraie",,,47.199741,-1.611830,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1092",,"Haute Gournière",,,47.267639,-1.545787,"",,1,,,2,,
"FR_NAOLIB:StopPlace:1093",,"Polytech",,,47.280777,-1.513718,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1090",,"Cousteau",,,47.240192,-1.513075,"",,1,,,0,,
"FR_NAOLIB:StopPlace:1091",,"Clouzeaux",,,47.179379,-1.492611,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1096",,"Viv'Erdre",,,47.285580,-1.550381,"",,1,,,2,,
"FR_NAOLIB:StopPlace:1097",,"Utrecht",,,47.283279,-1.552157,"",,1,,,2,,
"FR_NAOLIB:StopPlace:1094",,"Clépettre",,,47.296860,-1.547481,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1095",,"Desnerie",,,47.277924,-1.540526,"",,1,,,2,,
"FR_NAOLIB:StopPlace:1098",,"Toscane",,,47.283100,-1.548412,"",,1,,,1,,
"FR_NAOLIB:StopPlace:1099",,"La Chesnaie",,,47.281712,-1.537507,"",,1,,,1,,
"FR_NAOLIB:StopPlace:810",,"Petit Plessis",,,47.301891,-1.386114,"",,1,,,2,,
"FR_NAOLIB:StopPlace:804",,"Centre De Mauves",,,47.297089,-1.393468,"",,1,,,1,,
"FR_NAOLIB:StopPlace:805",,"Place St-Méen",,,47.319160,-1.347313,"",,1,,,2,,
"FR_NAOLIB:StopPlace:806",,"La Barre",,,47.308777,-1.381316,"",,1,,,2,,
"FR_NAOLIB:StopPlace:807",,"Mazères",,,47.313675,-1.350530,"",,1,,,2,,
"FR_NAOLIB:StopPlace:800",,"Guerivières",,,47.205273,-1.467401,"",,1,,,2,,
"FR_NAOLIB:StopPlace:801",,"Croix des Fosses",,,47.212856,-1.466360,"",,1,,,1,,
"FR_NAOLIB:StopPlace:803",,"Le Cellier",,,47.324757,-1.347826,"",,1,,,2,,
"FR_NAOLIB:StopPlace:808",,"Trianon",,,47.273239,-1.430471,"",,1,,,1,,
"FR_NAOLIB:StopPlace:809",,"Droitière",,,47.308098,-1.373208,"",,1,,,2,,
"FR_NAOLIB:StopPlace:820",,"Moulin Hérel",,,47.219513,-1.637570,"",,1,,,1,,
"FR_NAOLIB:StopPlace:821",,"Dolto",,,47.216450,-1.636284,"",,1,,,1,,
"FR_NAOLIB:StopPlace:815",,"Sartre",,,47.214428,-1.640576,"",,1,,,2,,
"FR_NAOLIB:StopPlace:816",,"Basse Orévière",,,47.220428,-1.658954,"",,1,,,2,,
"FR_NAOLIB:StopPlace:817",,"Pluchets",,,47.218494,-1.654376,"",,1,,,2,,
"FR_NAOLIB:StopPlace:818",,"Bretinais",,,47.221760,-1.665813,"",,1,,,2,,
"FR_NAOLIB:StopPlace:811",,"Thébaudières",,,47.310764,-1.359488,"",,1,,,1,,
"FR_NAOLIB:StopPlace:812",,"Gare de Mauves",,,47.293186,-1.389856,"",,1,,,1,,
"FR_NAOLIB:StopPlace:813",,"Pontereau",,,47.306465,-1.378749,"",,1,,,2,,
"FR_NAOLIB:StopPlace:814",,"Petit Village",,,47.217010,-1.650844,"",,1,,,2,,
"FR_NAOLIB:StopPlace:819",,"Primevères",,,47.224907,-1.672992,"",,1,,,2,,
"FR_NAOLIB:StopPlace:830",,"Centre de Carquefou",,,47.296944,-1.490798,"",,1,,,1,,
"FR_NAOLIB:StopPlace:831",,"Guy Mollet",,,47.249229,-1.554336,"",,1,,,0,,
"FR_NAOLIB:StopPlace:832",,"Charbonneau",,,47.300720,-1.489244,"",,1,,,1,,
"FR_NAOLIB:StopPlace:826",,"Erdreau",,,47.291840,-1.500974,"",,1,,,2,,
"FR_NAOLIB:StopPlace:827",,"Aristide Briand",,,47.296387,-1.495073,"",,1,,,1,,
"FR_NAOLIB:StopPlace:828",,"Mairie de Carquefou",,,47.298874,-1.490797,"",,1,,,1,,
"FR_NAOLIB:StopPlace:829",,"Bréchetière",,,47.284695,-1.503538,"",,1,,,2,,
"FR_NAOLIB:StopPlace:822",,"Schweitzer",,,47.294086,-1.494507,"",,1,,,1,,
"FR_NAOLIB:StopPlace:823",,"Fleuriaye",,,47.298756,-1.499813,"",,1,,,0,,
"FR_NAOLIB:StopPlace:824",,"Boisbonne",,,47.286633,-1.509132,"",,1,,,2,,
"FR_NAOLIB:StopPlace:825",,"Batignolles",,,47.255550,-1.529833,"",,1,,,1,,
"FR_NAOLIB:StopPlace:840",,"Matière",,,47.276394,-1.448860,"",,1,,,1,,
"FR_NAOLIB:StopPlace:841",,"Louis Breguet",,,47.272034,-1.466069,"",,1,,,1,,
"FR_NAOLIB:StopPlace:600",,"Bretagne",,"",47.217251,-1.558388,"",,1,,,1,,
"FR_NAOLIB:StopPlace:842",,"Chemin Rouge",,,47.251732,-1.517606,"",,1,,,0,,
"FR_NAOLIB:StopPlace:601",,"Plaisance",,"",47.240459,-1.591497,"",,1,,,1,,
"FR_NAOLIB:StopPlace:843",,"Jacqueline Auriol",,,47.271290,-1.471596,"",,1,,,1,,
"FR_NAOLIB:StopPlace:837",,"Antarès",,,47.281689,-1.459710,"",,1,,,2,,
"FR_NAOLIB:StopPlace:838",,"Boulodrome",,,47.257980,-1.514787,"",,1,,,1,,
"FR_NAOLIB:StopPlace:839",,"Renault",,,47.263359,-1.495568,"",,1,,,2,,
"FR_NAOLIB:StopPlace:833",,"Route de Paris",,,47.266399,-1.487407,"",,1,,,0,,
"FR_NAOLIB:StopPlace:834",,"Adrienne Bolland",,,47.267933,-1.476704,"",,1,,,1,,
"FR_NAOLIB:StopPlace:835",,"Moinet",,,47.265259,-1.492278,"",,1,,,0,,
"FR_NAOLIB:StopPlace:836",,"Grande-Bretagne",,,47.262245,-1.502224,"",,1,,,2,,
"FR_NAOLIB:StopPlace:851",,"Castorama",,,47.258968,-1.507062,"",,1,,,2,,
"FR_NAOLIB:StopPlace:610",,"Radigois",,,47.193176,-1.517768,"",,1,,,1,,
"FR_NAOLIB:StopPlace:852",,"La Hache",,,47.262218,-1.498964,"",,1,,,0,,
"FR_NAOLIB:StopPlace:611",,"Jaunais",,,47.175983,-1.533744,"",,1,,,1,,
"FR_NAOLIB:StopPlace:853",,"Belle Etoile",,,47.280437,-1.451812,"",,1,,,2,,
"FR_NAOLIB:StopPlace:612",,"Levoyer",,,47.194160,-1.581428,"",,1,,,1,,
"FR_NAOLIB:StopPlace:854",,"Syrma",,,47.277004,-1.470486,"",,1,,,2,,
"FR_NAOLIB:StopPlace:850",,"Sercel",,,47.267258,-1.488998,"",,1,,,1,,
"FR_NAOLIB:StopPlace:606",,"Croix de Rezé",,,47.179462,-1.558851,"",,1,,,1,,
"FR_NAOLIB:StopPlace:848",,"Malraux",,,47.254368,-1.517561,"",,1,,,0,,
"FR_NAOLIB:StopPlace:607",,"Malnoue",,,47.202930,-1.505345,"",,1,,,2,,
"FR_NAOLIB:StopPlace:849",,"Davum",,,47.264847,-1.496113,"",,1,,,2,,
"FR_NAOLIB:StopPlace:608",,"La Houssais",,,47.173935,-1.553348,"",,1,,,0,,
"FR_NAOLIB:StopPlace:609",,"Mairie de Rezé",,,47.192036,-1.569998,"",,1,,,2,,
"FR_NAOLIB:StopPlace:602",,"Bignon",,"",47.249256,-1.597781,"",,1,,,0,,
"FR_NAOLIB:StopPlace:844",,"Véga",,,47.279858,-1.464058,"",,1,,,2,,
"FR_NAOLIB:StopPlace:603",,"Longchamp",,"",47.235031,-1.582387,"",,1,,,0,,
"FR_NAOLIB:StopPlace:845",,"Sables d'Or",,,47.265045,-1.455840,"",,1,,,1,,
"FR_NAOLIB:StopPlace:604",,"Garillère",,,47.192455,-1.520973,"",,1,,,1,,
"FR_NAOLIB:StopPlace:846",,"Europe",,,47.260700,-1.503443,"",,1,,,2,,
"FR_NAOLIB:StopPlace:605",,"North House",,,47.195759,-1.573562,"",,1,,,2,,
"FR_NAOLIB:StopPlace:847",,"Lefeuvre",,,47.266762,-1.495046,"",,1,,,2,,
"FR_NAOLIB:StopPlace:620",,"Violettes",,,47.197792,-1.509050,"",,1,,,2,,
"FR_NAOLIB:StopPlace:862",,"Pagerie",,,47.178646,-1.652595,"",,1,,,1,,
"FR_NAOLIB:StopPlace:621",,"Seil",,,47.194370,-1.570490,"",,1,,,2,,
"FR_NAOLIB:StopPlace:863",,"Beau Soleil",,,47.177589,-1.644504,"",,1,,,1,,
"FR_NAOLIB:StopPlace:622",,"Mont Blanc",,,47.176273,-1.555560,"",,1,,,2,,
"FR_NAOLIB:StopPlace:864",,"Bois Jaulin",,,47.177559,-1.636901,"",,1,,,1,,
"FR_NAOLIB:StopPlace:623",,"Chêne Creux",,,47.170223,-1.548583,"",,1,,,0,,
"FR_NAOLIB:StopPlace:865",,"La Marche",,,47.180870,-1.659376,"",,1,,,1,,
"FR_NAOLIB:StopPlace:860",,"Roche Ballue",,,47.179512,-1.655797,"",,1,,,1,,
"FR_NAOLIB:StopPlace:861",,"Ravardière",,,47.183784,-1.664863,"",,1,,,2,,
"FR_NAOLIB:StopPlace:617",,"Lambert",,,47.171143,-1.539345,"",,1,,,1,,
"FR_NAOLIB:StopPlace:859",,"Paimboeuf",,,47.176472,-1.619837,"",,1,,,1,,
"FR_NAOLIB:StopPlace:618",,"Marterie",,,47.178703,-1.531254,"",,1,,,1,,
"FR_NAOLIB:StopPlace:619",,"Californie",,,47.191113,-1.584683,"",,1,,,2,,
"FR_NAOLIB:StopPlace:613",,"Îles de Loire",,,47.210537,-1.490265,"",,1,,,1,,
"FR_NAOLIB:StopPlace:855",,"Maison Neuve",,,47.274666,-1.467313,"",,1,,,2,,
"FR_NAOLIB:StopPlace:614",,"Petit Anjou",,,47.205791,-1.504603,"",,1,,,1,,
"FR_NAOLIB:StopPlace:856",,"Danemark",,,47.261539,-1.497517,"",,1,,,2,,
"FR_NAOLIB:StopPlace:615",,"Villeneuve",,,47.194016,-1.513599,"",,1,,,2,,
"FR_NAOLIB:StopPlace:857",,"Jupiter",,,47.284622,-1.455904,"",,1,,,2,,
"FR_NAOLIB:StopPlace:616",,"Maison Radieuse",,,47.188080,-1.566666,"",,1,,,1,,
"FR_NAOLIB:StopPlace:858",,"Japy",,,47.259636,-1.511094,"",,1,,,1,,
"FR_NAOLIB:StopPlace:631",,"Augé",,,47.194981,-1.517403,"",,1,,,2,,
"FR_NAOLIB:StopPlace:873",,"Petit Chantilly",,,47.254505,-1.600734,"",,1,,,1,,
"FR_NAOLIB:StopPlace:632",,"L'Aufrère",,,47.167343,-1.525131,"",,1,,,2,,
"FR_NAOLIB:StopPlace:874",,"Frégate",,,47.235241,-1.475862,"",,1,,,2,,
"FR_NAOLIB:StopPlace:633",,"Willy Brandt",,,47.172897,-1.563094,"",,1,,,2,,
"FR_NAOLIB:StopPlace:875",,"Mignonnerie",,,47.243446,-1.482678,"",,1,,,1,,
"FR_NAOLIB:StopPlace:634",,"Utrillo",,,47.182194,-1.563439,"",,1,,,2,,
"FR_NAOLIB:StopPlace:876",,"Loire",,,47.248383,-1.486561,"",,1,,,1,,
"FR_NAOLIB:StopPlace:870",,"Cravate",,,47.243286,-1.588342,"",,1,,,1,,
"FR_NAOLIB:StopPlace:871",,"Avenue des Pins",,,47.253483,-1.597178,"",,1,,,1,,
"FR_NAOLIB:StopPlace:630",,"St-Jean",,,47.191776,-1.523627,"",,1,,,2,,
"FR_NAOLIB:StopPlace:872",,"Hameau Fleuri",,,47.251041,-1.589779,"",,1,,,1,,
"FR_NAOLIB:StopPlace:628",,"Naudières",,,47.173370,-1.536363,"",,1,,,1,,
"FR_NAOLIB:StopPlace:629",,"Quai Surcouf",,,47.194881,-1.577908,"",,1,,,1,,
"FR_NAOLIB:StopPlace:624",,"Jean Perrin",,,47.181145,-1.560649,"",,1,,,1,,
"FR_NAOLIB:StopPlace:866",,"Bac du Pellerin",,,47.202938,-1.754894,"",,1,,,1,,
"FR_NAOLIB:StopPlace:625",,"Le Corbusier",,,47.190159,-1.568581,"",,1,,,0,,
"FR_NAOLIB:StopPlace:867",,"Coteaux",,,47.184502,-1.669705,"",,1,,,1,,
"FR_NAOLIB:StopPlace:626",,"Joliverie",,,47.189850,-1.519349,"",,1,,,1,,
